Variable Name,Units,Definition,Type,Comments,Possible Scenario Grouping
FS.WC_harvest_storage_efficiency_factor,unitless,module interface to FL.WC harvest storage efficiency factor,array | module interface,,
FS.weather_factor_annual_crop,Unitless,scenario input used to capture impact of weather on production of residues and annual (commodity) crops.  1 = neutral,array | graphical function | scenario input,,Drought
FS.weather_factor_forest_residue,Unitless,scenario input used to capture impact of weather on production of forest residues.  1 = neutral,array | graphical function | scenario input,,Drought
FS.weather_factor_PE_crop,Unitless,scenario input used to capture impact of weather on production perennial cellulosic energy crops.  1 = neutral,array | graphical function | scenario input,,Drought
FU.becoming_occasional_user,percent/yr,captures flow (in %/year) of Non-HiBlend Users in the region into &quot;Occasional&quot; user category,array | internal calculation,,
FU.becoming_regular_user,percent/yr,captures flow (in %/year) of &quot;occasional&quot; HiBlend Users in the region into &quot;Regular&quot; user category,array | internal calculation,,
FU.dropping_back_to_occasional_user,percent/yr,calculates flow (in $/yr) from HiBlend Regular Users in the region to occasional users,array | internal calculation,,
FU.FFV_Hi_Blend_Consn,gallons per year,Sets total  desired amount of hi blend consumption by FFV vehicles (which is then subject to inventory constraints in the region),array | internal calculation,,
FU.FFV_Lo_Blend_Consn,gallons per year,calculates lo blend fuel consumption by flex fuel vehicles,array | module interface,,
FU.frac_HiBlend_capable_with_station_coverage,Unitless,"This graphical function relates the percentage of stations in the region with hiblend capability, to the fraction of hiblend-capable vehicles/owners with access to dispensing stations.",array | graphical function | assumed values,,
FU.fraction_NonUsers_susceptible,Unitless,fraction of  potential new hiblend users who are susceptible of  becoming users. Allows for setting of arbitrary &quot;floor&quot; on uptake of hi blend,array | constant | scenario input | assumed value,,
FU.gas_price_averaging_time,years,"Provides averaging time for price smoothing of price dynamics. Used as time constant input for  long term price for gasoline, hi-blend",scalar | constant | assumed value,,
FU.Gasoline_Attractiveness_Occasional_Users,Unitless,"Part of logit forumulation used to calculate market shares. Calculates attractiveness of gasoline, for occasional hiblend users",array | internal calculation,,
FU.Gasoline_Attractiveness_Reg_Hi_Blend_Users,Unitless,"Part of logit forumulation used to calculate market shares. Calculates attractiveness of gasoline, for &quot;regular&quot; hiblend users",array | internal calculation,,
FU.Gasoline_Pump_Price_from_PIM,USD per gallon,module interface to IP.Gasoline Pump Price,array | module interface,,
FU.Hi_Blend_Attractiveness_Occasional_Hi_Blend_Users,Unitless,Part of logit forumulation used to calculate market shares. Calculates attractiveness of hi blend fuel for occasional hiblend users,array | internal calculation,,
FU.Hi_Blend_Attractiveness_Regular_Hi_Blend_Users,Unitless,Part of logit forumulation used to calculate market shares. Calculates attractiveness of hi blend fuel for regular hiblend users,array | internal calculation,,
FU.Hi_Blend_Gas_equivalent_price,USD per gallon,module interface to IP.Hi Blend Gas equivalent price,array | module interface,,
FU.Hi_Blend_Pump_Price_From_PIM,USD per gallon,module interface to IP.Hi Blend Pump Price,array | module interface,,
FU.HiBlend_Capable_PCT_WITHOUT_station_coverage,percent,% of Highblend capable users in region who do not have dispensing station coverage and therefore cannot become Hiblend user,array | internal calculation,,
FU.Initial_Non_HiBlend_Users,percent,"In the initial model condition, % of HiBlend capable owners in the region who do not use HiBlend at all.  Note that in each region, sum of initial values for non, occasional, and regular users should sum to 100",array | constant  | assumed value,,
FU.Initial_Occasional_Hi_Blend_Users,percent,"In the initial model condition, % of HiBlend capable owners in the region who are occasional users of HiBlend.  Note that in each region, sum of initial values for non, occasional, and regular users should sum to 100",array | constant  | assumed value,,
FU.Initial_Regular_Hi_Blend_Users,percent,"In the initial model condition, % of HiBlend capable owners in the region who are regular users of HiBlend.  Note that in each region, sum of initial values for non, occasional, and regular users should sum to 100",array | constant  | assumed value,,
FU.k_Gas_Occasional_Users,Unitless,Assumed non-$-based utility component ofattractiveness for regular hi blend users,scalar | constant | scenario input | assumed value,default value gives 20-80 share distribution under price parity,
FU.k_Gas_Regular_Users,Unitless,Assumed non-$-based utility component ofattractiveness for regular hi blend users,scalar | constant | scenario input | assumed value,default value gives 20-80 share distribution under price parity,
FU.k_Hi_Blend_Occasional_Users,Unitless,Assumed non-$-based utility component ofattractiveness for occasional hi blend users,scalar | constant | scenario input | assumed value,default value gives 20-80 share distribution under price parity,
FU.k_Hi_Blend_Regular_Users,Unitless,Assumed non-$-based utility component ofattractiveness for regular hi blend users,scalar | constant | scenario input | assumed value,default value gives 20-80 share distribution under price parity,
FU.Long_Term_Avg_Gas_Price,USD per gallon,smooths gas prices to filter out spikes in price if they occur.  used as input to drive movement of users to/from regular user bucket,array | internal calculation,,
FU.Long_Term_Avg_Hi_Blend_Gas_Equivalent_Price,USD per gallon,calculates long term (smoothed) average for hi blend gas equivalent price,array | internal calculation,,
FU.Long_Term_Relative_Price,Unitless,Calculates ratio of long term (smoothed) prices of hiblend (in gasoline equivalent price) relative to gasoline,array | internal calculation,,
FU.max_FFV_Lo_Blend_Consn_from_Vehicle_Module,gallons per year,module interface to V.regional potential lo blend consn FFV,array | module interface,,
FU.max_rate_of_becoming_regular_HiBlend_user,per year,Sets the maximum rate at which the regular hiblend user gap is eliminated,scalar | constant | assumed value,,
FU.maximum_HiBlend_Users_PCT_from_regional_coverage,percent,calculates % of Highblend capable users in region who have access to hiblend dispensing stations,array | internal calculation,,
FU.Non_HiBlend_Users,percent,"Stock of % of HiBlend capable owners in the region, who do not use HiBlend at all",array | internal calculation,,
FU.Occasional_HiBlend_Users,percent,Stock of % of HiBlend capable owners in the region who  use HiBlend occasionally (as determined by model logic around occasional share),array | internal calculation,,
FU.Occasional_HiBlend_Users_as_Frac,Unitless,expresses stock of occasional hiblend users as a fraction of total hiblend capable population,array | internal calculation,,
FU.occasional_user_constraint_on_becoming_regular_HiBlend_User,Unitless,Relates size of occasional user pool to the rate at which the regular user gap is eliminated.  Provides 1st order control on stock,Array | Graphical function | Internal Calculation,,
FU.occasional_user_price_attractiveness_weighting,gallons per dollar,Weighting factor for logit function calculation,scalar | constant | assumed value | scenario input,,
FU.Occasional_User_Wtd_Hi_Blend_Share,Unitless,calculates total share of potential hiblend cons&apos;n that accrues to occasional users,array | graphical function | assumed values | scenario input,,
FU.potential_Hi_Blend_Consn_from_Vehicle_Module,gallons per year,module interface to V.regional potential hi blend consn FFV,array | module interface,,
FU.Potential_Hi_Blend_Users,percent,% of Highblend capable users in region who could become users because of dispensing station coverage,array | internal calculation,,
FU.preference_share_Regular_Users,percent,Sets target % of hiblend capable owners who will use hiblend regularly.  Based on ratio of long term (smoothed) prices for gasoline/hiblend,array | internal calculation,,
FU.RAT_HiBlend_Occasional_Hi_Blend_Users,Unitless,attractiveness (relative to plain old gasoline) of hiblend for occasional users,array | internal calculation,,
FU.RAT_HiBlend_Regular_Hi_Blend_Users,Unitless,attractiveness (relative to plain old gasoline) of hiblend for regular users,array | internal calculation,,
